Iteration,Index,Smarts,Typename,ParentSMARTS,RefType,Matches,Molecules,FractionMatched,Denominator
0,1,'[#1]','c_hydrogen','None','HC',464,42,244,244 
0,2,'[#6]','c_carbon','None','CT',232,42,232,232 
0,3,'[#8]','c_oxygen','None','OH',107,42,68,68 
0,-1,'total','all','None','all',803,42,544,803 
1,1,'[#1]','c_hydrogen','None','HC',464,42,244,244 
1,2,'[#6]','c_carbon','None','CT',232,42,232,232 
1,3,'[#8]','c_oxygen','None','OH',107,42,68,68 
1,-1,'total','all','None','all',803,42,544,803 
2,1,'[#1]','c_hydrogen','None','HC',464,42,244,244 
2,2,'[#6]','c_carbon','None','CT',232,42,232,232 
2,3,'[#8]','c_oxygen','None','OH',107,42,68,68 
2,-1,'total','all','None','all',803,42,544,803 
3,1,'[#1]','c_hydrogen','None','HC',464,42,244,244 
3,2,'[#6]','c_carbon','None','CT',232,42,232,232 
3,3,'[#8]','c_oxygen','None','OH',107,42,68,68 
3,-1,'total','all','None','all',803,42,544,803 
4,1,'[#1]','c_hydrogen','None','HC',464,42,244,244 
4,2,'[#6]','c_carbon','None','CT',232,42,232,232 
4,3,'[#8]','c_oxygen','None','OH',107,42,68,68 
4,-1,'total','all','None','all',803,42,544,803 
5,1,'[#1]','c_hydrogen','None','HC',464,42,244,244 
5,2,'[#6]','c_carbon','None','CT',232,42,232,232 
5,3,'[#8]','c_oxygen','None','OH',107,42,68,68 
5,-1,'total','all','None','all',803,42,544,803 
6,1,'[#1]','c_hydrogen','None','HC',464,42,244,244 
6,2,'[#6]','c_carbon','None','CT',232,42,232,232 
6,3,'[#8]','c_oxygen','None','OH',107,42,68,68 
6,-1,'total','all','None','all',803,42,544,803 
7,1,'[#1]','c_hydrogen','None','HC',464,42,244,244 
7,2,'[#6]','c_carbon','None','CT',232,42,232,232 
7,3,'[#8]','c_oxygen','None','OH',107,42,68,68 
7,-1,'total','all','None','all',803,42,544,803 
8,1,'[#1]','c_hydrogen','None','NONE',0,0,0,0 
8,2,'[#6]','c_carbon','None','CT',232,42,232,232 
8,3,'[#8]','c_oxygen','None','OH',107,42,68,68 
8,4,'[#1H0]','c_hydrogen total-h-count-0','[#1]','HC',464,42,244,244 
8,-1,'total','all','None','all',803,42,544,803 
9,1,'[#1]','c_hydrogen','None','NONE',0,0,0,0 
9,2,'[#6]','c_carbon','None','CT',232,42,232,232 
9,3,'[#8]','c_oxygen','None','OH',107,42,68,68 
9,4,'[#1H0]','c_hydrogen total-h-count-0','[#1]','HC',464,42,244,244 
9,-1,'total','all','None','all',803,42,544,803 
10,1,'[#1]','c_hydrogen','None','NONE',0,0,0,0 
10,2,'[#6]','c_carbon','None','CT',232,42,232,232 
10,3,'[#8]','c_oxygen','None','OH',107,42,68,68 
10,4,'[#1H0]','c_hydrogen total-h-count-0','[#1]','HC',464,42,244,244 
10,-1,'total','all','None','all',803,42,544,803 
11,1,'[#1]','c_hydrogen','None','NONE',0,0,0,0 
11,2,'[#6]','c_carbon','None','CT',232,42,232,232 
11,3,'[#8]','c_oxygen','None','OH',107,42,68,68 
11,4,'[#1H0]','c_hydrogen total-h-count-0','[#1]','HC',464,42,244,244 
11,-1,'total','all','None','all',803,42,544,803 
12,1,'[#1]','c_hydrogen','None','NONE',0,0,0,0 
12,2,'[#6]','c_carbon','None','CT',232,42,232,232 
12,3,'[#8]','c_oxygen','None','OH',107,42,68,68 
12,4,'[#1H0]','c_hydrogen total-h-count-0','[#1]','HC',464,42,244,244 
12,-1,'total','all','None','all',803,42,544,803 
13,1,'[#1]','c_hydrogen','None','NONE',0,0,0,0 
13,2,'[#6]','c_carbon','None','CT',232,42,232,232 
13,3,'[#8]','c_oxygen','None','OH',107,42,68,68 
13,4,'[#1H0]','c_hydrogen total-h-count-0','[#1]','HC',464,42,244,244 
13,-1,'total','all','None','all',803,42,544,803 
14,1,'[#1]','c_hydrogen','None','HC',464,42,244,244 
14,2,'[#6]','c_carbon','None','CT',232,42,232,232 
14,3,'[#8]','c_oxygen','None','OH',107,42,68,68 
14,-1,'total','all','None','all',803,42,544,803 
15,1,'[#1]','c_hydrogen','None','HC',464,42,244,244 
15,2,'[#6]','c_carbon','None','CT',232,42,232,232 
15,3,'[#8]','c_oxygen','None','OH',107,42,68,68 
15,-1,'total','all','None','all',803,42,544,803 
16,1,'[#1]','c_hydrogen','None','HO',68,42,68,68 
16,2,'[#6]','c_carbon','None','CT',232,42,232,232 
16,3,'[#8]','c_oxygen','None','OH',107,42,68,68 
16,4,'[#1$(*~[#6])]','c_hydrogen any c_carbon ','[#1]','HC',396,42,244,244 
16,-1,'total','all','None','all',803,42,612,803 
17,1,'[#1]','c_hydrogen','None','HO',68,42,68,68 
17,2,'[#6]','c_carbon','None','CT',232,42,232,232 
17,3,'[#8]','c_oxygen','None','OH',107,42,68,68 
17,4,'[#1$(*~[#6])]','c_hydrogen any c_carbon ','[#1]','HC',396,42,244,244 
17,-1,'total','all','None','all',803,42,612,803 
18,1,'[#1]','c_hydrogen','None','HO',68,42,68,68 
18,2,'[#6]','c_carbon','None','CT',232,42,232,232 
18,3,'[#8]','c_oxygen','None','OH',107,42,68,68 
18,4,'[#1$(*~[#6])]','c_hydrogen any c_carbon ','[#1]','HC',396,42,244,244 
