Iteration,Index,Smarts,ParNum,ParentParNum,RefType,Matches,Molecules,FractionMatched,Denominator
0,1,'[#1:1]',0,0,'n0002',464,42,244,244
0,2,'[#6:1]',0,0,'NONE',0,0,0,0
0,3,'[#8:1]',0,0,'n0011',107,42,68,68
0,4,'[#6:1]~[#1]',0,0,'n0008',232,42,232,232
1,1,'[#1:1]',0,0,'n0002',464,42,244,244
1,2,'[#6:1]',0,0,'NONE',0,0,0,0
1,3,'[#8:1]',0,0,'n0011',107,42,68,68
1,4,'[#6:1]~[#1]',0,0,'n0008',232,42,232,232
2,1,'[#1:1]',0,0,'n0002',464,42,244,244
2,2,'[#6:1]',0,0,'NONE',0,0,0,0
2,3,'[#8:1]',0,0,'n0011',107,42,68,68
2,4,'[#6:1]~[#1]',0,0,'n0008',232,42,232,232
3,1,'[#1:1]',0,0,'n0002',464,42,244,244
3,2,'[#6:1]',0,0,'NONE',0,0,0,0
3,3,'[#8:1]',0,0,'n0011',107,42,68,68
3,4,'[#6:1]~[#1]',0,0,'n0008',232,42,232,232
4,1,'[#1:1]',0,0,'n0002',464,42,244,244
4,2,'[#6:1]',0,0,'NONE',0,0,0,0
4,3,'[#8:1]',0,0,'n0011',107,42,68,68
4,4,'[#6:1]~[#1]',0,0,'n0008',232,42,232,232
5,1,'[#1:1]',0,0,'n0002',464,42,244,244
5,2,'[#6:1]',0,0,'NONE',0,0,0,0
5,3,'[#8:1]',0,0,'n0011',107,42,68,68
5,4,'[#6:1]~[#1]',0,0,'n0008',232,42,232,232
6,1,'[#1:1]',0,0,'n0002',464,42,244,244
6,2,'[#6:1]',0,0,'NONE',0,0,0,0
6,3,'[#8:1]',0,0,'n0011',107,42,68,68
6,4,'[#6:1]~[#1]',0,0,'n0008',232,42,232,232
7,1,'[#1:1]',0,0,'n0002',464,42,244,244
7,2,'[#6:1]',0,0,'NONE',0,0,0,0
7,3,'[#8:1]',0,0,'n0011',107,42,68,68
7,4,'[#6:1]~[#1]',0,0,'n0008',232,42,232,232
8,1,'[#1:1]',0,0,'n0002',464,42,244,244
8,2,'[#6:1]',0,0,'NONE',0,0,0,0
8,3,'[#8:1]',0,0,'n0011',107,42,68,68
8,4,'[#6:1]~[#1]',0,0,'n0008',232,42,232,232
9,1,'[#1:1]',0,0,'n0002',464,42,244,244
9,2,'[#6:1]',0,0,'n0008',232,42,232,232
9,3,'[#8:1]',0,0,'n0011',107,42,68,68
10,1,'[#1:1]',0,0,'n0002',464,42,244,244
10,2,'[#6:1]',0,0,'n0008',232,42,232,232
10,3,'[#8:1]',0,0,'n0011',107,42,68,68
11,1,'[#1:1]',0,0,'n0002',464,42,244,244
11,2,'[#6:1]',0,0,'NONE',0,0,0,0
11,3,'[#8:1]',0,0,'n0011',107,42,68,68
11,4,'[#6:1]~[#1]',0,0,'n0008',232,42,232,232
12,1,'[#1:1]',0,0,'n0002',464,42,244,244
12,2,'[#6:1]',0,0,'NONE',0,0,0,0
12,3,'[#8:1]',0,0,'n0011',107,42,68,68
12,4,'[#6:1]~[#1]',0,0,'n0008',232,42,232,232
13,1,'[#1:1]',0,0,'n0006',68,42,68,68
13,2,'[#6:1]',0,0,'NONE',0,0,0,0
13,3,'[#8:1]',0,0,'n0011',107,42,68,68
13,4,'[#6:1]~[#1]',0,0,'n0008',232,42,232,232
13,5,'[#1:1]~[#6]',0,0,'n0002',396,42,244,244
14,1,'[#1:1]',0,0,'n0006',68,42,68,68
14,2,'[#6:1]',0,0,'NONE',0,0,0,0
14,3,'[#8:1]',0,0,'NONE',0,0,0,0
14,4,'[#6:1]~[#1]',0,0,'n0008',232,42,232,232
14,5,'[#1:1]~[#6]',0,0,'n0002',396,42,244,244
14,6,'[#8,#8!X4:1]',0,0,'n0011',107,42,68,68
15,1,'[#1:1]',0,0,'n0006',68,42,68,68
15,2,'[#6:1]',0,0,'NONE',0,0,0,0
15,3,'[#8:1]',0,0,'n0011',107,42,68,68
15,4,'[#6:1]~[#1]',0,0,'n0008',232,42,232,232
15,5,'[#1:1]~[#6]',0,0,'n0002',396,42,244,244
16,1,'[#1:1]',0,0,'n0006',68,42,68,68
16,2,'[#6:1]',0,0,'NONE',0,0,0,0
16,3,'[#8:1]',0,0,'n0011',107,42,68,68
16,4,'[#6:1]~[#1]',0,0,'n0008',232,42,232,232
16,5,'[#1:1]~[#6]',0,0,'n0002',396,42,244,244
17,1,'[#1:1]',0,0,'n0006',68,42,68,68
17,2,'[#6:1]',0,0,'NONE',0,0,0,0
17,3,'[#8:1]',0,0,'n0011',107,42,68,68
17,4,'[#6:1]~[#1]',0,0,'n0008',232,42,232,232
17,5,'[#1:1]~[#6]',0,0,'n0002',396,42,244,244
18,1,'[#1:1]',0,0,'n0006',68,42,68,68
18,2,'[#6:1]',0,0,'n0008',232,42,232,232
18,3,'[#8:1]',0,0,'n0011',107,42,68,68
18,4,'[#1:1]~[#6]',0,0,'n0002',396,42,244,244
19,1,'[#1:1]',0,0,'n0006',68,42,68,68
19,2,'[#6:1]',0,0,'n0008',232,42,232,232
19,3,'[#8:1]',0,0,'n0011',107,42,68,68
19,4,'[#1:1]~[#6]',0,0,'n0002',396,42,244,244
20,1,'[#1:1]',0,0,'n0006',68,42,68,68
20,2,'[#6:1]',0,0,'n0008',232,42,232,232
20,3,'[#8:1]',0,0,'n0011',107,42,68,68
20,4,'[#1:1]~[#6]',0,0,'n0002',396,42,244,244
21,1,'[#1:1]',0,0,'n0006',68,42,68,68
21,2,'[#6:1]',0,0,'n0008',232,42,232,232
21,3,'[#8:1]',0,0,'n0010',39,30,39,39
21,4,'[#1:1]~[#6]',0,0,'n0002',396,42,244,244
21,5,'[#8:1]~[#1]',0,0,'n0011',68,42,68,68
22,1,'[#1:1]',0,0,'n0006',68,42,68,68
22,2,'[#6:1]',0,0,'n0008',232,42,232,232
22,3,'[#8:1]',0,0,'n0010',39,30,39,39
22,4,'[#1:1]~[#6]',0,0,'n0002',396,42,244,244
22,5,'[#8:1]~[#1]',0,0,'n0011',68,42,68,68
23,1,'[#1:1]',0,0,'n0006',68,42,68,68
23,2,'[#6:1]',0,0,'n0008',232,42,232,232
23,3,'[#8:1]',0,0,'n0010',39,30,39,39
23,4,'[#1:1]~[#6]',0,0,'n0002',396,42,244,244
23,5,'[#8:1]~[#1]',0,0,'n0011',68,42,68,68
24,1,'[#1:1]',0,0,'n0006',68,42,68,68
24,2,'[#6:1]',0,0,'n0008',232,42,232,232
24,3,'[#8:1]',0,0,'n0010',39,30,39,39
24,4,'[#1:1]~[#6]',0,0,'n0002',396,42,244,244
24,5,'[#8:1]~[#1]',0,0,'n0011',68,42,68,68
25,1,'[#1:1]',0,0,'n0006',68,42,68,68
25,2,'[#6:1]',0,0,'n0008',232,42,232,232
25,3,'[#8:1]',0,0,'n0010',39,30,39,39
25,4,'[#1:1]~[#6]',0,0,'n0002',396,42,244,244
