Iteration,Index,Smarts,ParNum,ParentParNum,RefType,Matches,Molecules,FractionMatched,Denominator
0,1,'[*:1]~[*:2]~[*:3]~[*:4]',0,0,'NONE',0,0,0,0 
0,2,'[*:1]!=[*:2]~[*:3]~[*:4]',0,0,'t0004',2175,42,574,574 
1,1,'[*:1]~[*:2]~[*:3]~[*:4]',0,0,'t0004',2175,42,574,574 
2,1,'[*:1]~[*:2]~[*:3]~[*:4]',0,0,'t0004',2175,42,574,574 
3,1,'[*:1]~[*:2]~[*:3]~[*:4]',0,0,'t0004',2175,42,574,574 
4,1,'[*:1]~[*:2]~[*:3]~[*:4]',0,0,'t0004',1737,42,574,574 
4,2,'[*:1]~[$ewg1&!X3:2]~[*:3]~[*:4]',0,0,'t0003',438,42,156,156 
5,1,'[*:1]~[*:2]~[*:3]~[*:4]',0,0,'t0004',1737,42,574,574 
5,2,'[*:1]~[$ewg1&!X3:2]~[*:3]~[*:4]',0,0,'t0003',438,42,156,156 
6,1,'[*:1]~[*:2]~[*:3]~[*:4]',0,0,'NONE',0,0,0,0 
6,2,'[*:1]~[$ewg1&!X3:2]~[*:3]~[*:4]',0,0,'NONE',0,0,0,0 
6,3,'[*:1]~[*:2]~[*:3]!#[*:4]',0,0,'t0004',2175,42,574,574 
7,1,'[*:1]~[*:2]~[*:3]~[*:4]',0,0,'NONE',0,0,0,0 
7,2,'[*:1]~[$ewg1&!X3:2]~[*:3]~[*:4]',0,0,'NONE',0,0,0,0 
7,3,'[*:1]~[*:2]~[*:3]!#[*:4]',0,0,'NONE',0,0,0,0 
7,4,'[*:1]~[#6!H3:2]~[*:3]~[*:4]',0,0,'t0004',2175,42,574,574 
8,1,'[*:1]~[*:2]~[*:3]~[*:4]',0,0,'NONE',0,0,0,0 
8,2,'[*:1]~[$ewg1&!X3:2]~[*:3]~[*:4]',0,0,'NONE',0,0,0,0 
8,3,'[*:1]~[#6!H3:2]~[*:3]~[*:4]',0,0,'t0004',2175,42,574,574 
9,1,'[*:1]~[*:2]~[*:3]~[*:4]',0,0,'NONE',0,0,0,0 
9,2,'[*:1]~[$ewg1&!X3:2]~[*:3]~[*:4]',0,0,'NONE',0,0,0,0 
