Iteration,Index,Smarts,ParNum,ParentParNum,RefType,Matches,Molecules,FractionMatched,Denominator
0,1,'[*:1]~[*:2]~[*:3]',0,0,'a0001',1499,42,1029,1029 
1,1,'[*:1]~[*:2]~[*:3]',0,0,'a0001',1499,42,1029,1029 
2,1,'[*:1]~[*:2]~[*:3]',0,0,'a0001',1499,42,1029,1029 
3,1,'[*:1]~[*:2]~[*:3]',0,0,'a0001',1499,42,1029,1029 
4,1,'[*:1]~[*:2]~[*:3]',0,0,'a0001',1499,42,1029,1029 
5,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
5,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',1199,42,961,1029 
6,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
6,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',1199,42,961,1029 
7,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
7,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',1199,42,961,1029 
8,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
8,2,'[*:1]~;@[*:2]~[*:3]',0,0,'NONE',0,0,0,0 
8,3,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',1199,42,961,1029 
9,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
9,2,'[*:1]~;@[*:2]~[*:3]',0,0,'NONE',0,0,0,0 
9,3,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',1199,42,961,1029 
10,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
10,2,'[*:1]~;@[*:2]~[*:3]',0,0,'NONE',0,0,0,0 
10,3,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',1199,42,961,1029 
11,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
11,2,'[*:1]~;@[*:2]~[*:3]',0,0,'NONE',0,0,0,0 
11,3,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',1199,42,961,1029 
12,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
12,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',1199,42,961,1029 
13,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
13,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
13,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0003',265,42,160,160 
14,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
14,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
14,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0003',265,42,160,160 
15,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
15,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
15,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0003',265,42,160,160 
16,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
16,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
16,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0003',265,42,160,160 
17,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
17,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
17,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0003',265,42,160,160 
18,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
18,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
18,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0003',265,42,160,160 
19,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
19,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
19,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0003',265,42,160,160 
20,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
20,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
20,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0003',265,42,160,160 
21,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
21,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
21,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0003',265,42,160,160 
22,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
22,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
22,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0003',265,42,160,160 
23,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
23,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
23,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0003',265,42,160,160 
24,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
24,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
24,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0003',265,42,160,160 
25,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
25,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
25,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0003',265,42,160,160 
26,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
26,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
26,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0003',265,42,160,160 
27,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
27,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
27,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0003',265,42,160,160 
28,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
28,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
28,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0003',265,42,160,160 
29,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
29,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
29,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0003',265,42,160,160 
30,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
30,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
30,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0003',265,42,160,160 
31,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
31,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
31,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0003',265,42,160,160 
32,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
32,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
32,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0003',265,42,160,160 
33,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
33,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
33,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0003',265,42,160,160 
34,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
34,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
34,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0003',265,42,160,160 
35,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
35,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
35,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0003',265,42,160,160 
36,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
