#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,-12399.65157726407,294.852151973829,0.09821297688640197
2000,-12112.345982290804,305.5574093929734,0.09821297688640197
3000,-12758.554071068764,302.19740622132247,0.09821297688640197
4000,-12779.070660933852,300.1920946234147,0.09821297688640197
5000,-12611.960120309144,308.80479781740377,0.09821297688640197
6000,-12857.089022576809,302.1202037109065,0.09821297688640197
7000,-12491.85222921148,303.4104407835939,0.09821297688640197
8000,-12565.204294614494,300.0967847670714,0.09821297688640197
9000,-13107.946573818102,296.2293050120872,0.09821297688640197
10000,-12494.036272034049,296.67362596827877,0.09821297688640197
11000,-12540.903631810099,299.29380004359393,0.09821297688640197
12000,-12864.363437552005,306.9019738724481,0.09821297688640197
13000,-12507.048036945984,305.6991339367876,0.09821297688640197
14000,-12837.15067534335,298.31766596054524,0.09821297688640197
15000,-12770.166575603187,309.2162401080615,0.09821297688640197
16000,-12954.527884846553,303.73506995801534,0.09821297688640197
17000,-13036.935377433896,306.13700385097104,0.09821297688640197
18000,-12950.339847188443,303.69099129207166,0.09821297688640197
19000,-12907.975269500166,300.383307493598,0.09821297688640197
20000,-12893.475477129221,305.3315512601223,0.09821297688640197
21000,-12686.831517184153,303.3929050515498,0.09821297688640197
22000,-12807.735568210483,305.2979722049298,0.09821297688640197
23000,-12421.378557616845,306.57311849656804,0.09821297688640197
24000,-12990.413664702326,298.8344887850469,0.09821297688640197
25000,-12871.142133716494,296.6868905310002,0.09821297688640197
26000,-12505.63553724438,302.5386459312222,0.09821297688640197
27000,-12995.709377045743,305.59713878794355,0.09821297688640197
28000,-12819.96373899281,303.9162499261658,0.09821297688640197
29000,-12987.425750966184,303.2682130165862,0.09821297688640197
30000,-12759.166589895263,298.03846892456,0.09821297688640197
31000,-12916.32130384259,297.9269138783009,0.09821297688640197
32000,-12628.251069271937,305.4043588732938,0.09821297688640197
33000,-12814.974973894656,308.8367134261324,0.09821297688640197
34000,-13113.200153594837,297.8939198946193,0.09821297688640197
35000,-12963.8332340708,300.56459588344165,0.09821297688640197
36000,-12926.008569803089,299.7868962416487,0.09821297688640197
37000,-12931.473038695753,306.91922194679086,0.09821297688640197
38000,-12878.574581978843,302.02668106410584,0.09821297688640197
39000,-12845.885214544833,302.65173059631144,0.09821297688640197
40000,-13148.319274768233,300.60279731874505,0.09821297688640197
41000,-12704.170995652676,298.7673253160418,0.09821297688640197
42000,-13140.536095868796,299.04844180694175,0.09821297688640197
43000,-12924.69659971632,301.4386121856631,0.09821297688640197
44000,-12819.117930449545,299.2315061239179,0.09821297688640197
45000,-12965.690840668976,295.35104277545116,0.09821297688640197
46000,-13339.44717091322,305.28401301896696,0.09821297688640197
47000,-13211.58377873525,304.8851147743745,0.09821297688640197
48000,-13435.105709888041,297.7799754974698,0.09821297688640197
49000,-13606.193593526259,295.63884538525906,0.09821297688640197
50000,-13070.38861060515,290.526668039542,0.09821297688640197
51000,-12850.081983147655,301.7919494216779,0.09821297688640197
52000,-13036.918673597276,303.68001435211875,0.09821297688640197
53000,-13461.985583530739,297.35813042711084,0.09821297688640197
54000,-13352.156550638378,298.31649533944784,0.09821297688640197
55000,-13054.547416761518,302.6867309368683,0.09821297688640197
56000,-13134.077134115621,301.16823736004915,0.09821297688640197
57000,-13178.971011467278,299.0298088712451,0.09821297688640197
58000,-13162.454345760867,299.4223549203335,0.09821297688640197
59000,-13403.20194157213,305.4792943519523,0.09821297688640197
60000,-12854.110536750406,303.835343881083,0.09821297688640197
61000,-13255.185786999762,301.0302135678327,0.09821297688640197
62000,-13177.752191375941,302.3595963137624,0.09821297688640197
